Company_Name,Company_Rating,Company_Review,Company_Type,Company_Head_Quarter,Company_Old,Company_Employees
The Millennium S...,4.0,(110 Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",9 years old,11-50 Employees (India)
RattanIndia Powe...,2.9,(110 Reviews),Public,"Delhi/NCR,Delhi + 5 more",16 years old,1k-5k Employees (India)
IAF,4.4,(110 Reviews),Public,New Delhi + 24 more,91 years old,201-500 Employees (India)
Amara Raja Infra,3.9,(110 Reviews),Private,Hyderabad + 10 more,39 years old,201-500 Employees (India)
Bain & Company,4.1,(110 Reviews),Private,"Boston,Massachusetts + 8 more",50 years old,1k-5k Employees (India)
Droom,4.2,(110 Reviews),Private,"Gurgaon,Haryana + 1 more",9 years old,201-500 Employees (India)
Phenix Construct...,4.2,(110 Reviews),Private,"Ahmedabad,Gujarat + 7 more",16 years old,1k-5k Employees (India)
Innoplexus,4.4,(110 Reviews),Private,"Eschborn,Hessen",8 years old,201-500 Employees (India)
Goldstone Cement...,3.4,(110 Reviews),Kolkata + 10 more,16 years old,51-200 Employees (India),
Root Industries,4.0,(110 Reviews),Private,"Coimbatore,Tamil Nadu + 5 more",53 years old,1k-5k Employees (India)
A&A Business Con...,4.0,(110 Reviews),Private,"Mumbai,Maharashtra + 8 more",14 years old,201-500 Employees (India)
Gracure Pharmace...,4.0,(110 Reviews),Private,"Delhi/NCR,Delhi + 5 more",31 years old,501-1k Employees (India)
VHS Consulting,3.5,(110 Reviews),Private,Pleasanton + 10 more,14 years old,11-50 Employees (India)
MMACH Design,4.9,(110 Reviews),Pune + 9 more,51-200 Employees (India),,
L&T Construction...,4.4,(110 Reviews),Kancheepuram + 23 more,1k-5k Employees (India),,
Crossword Bookst...,4.2,(110 Reviews),Private,"Mumbai,Maharashtra + 19 more",31 years old,201-500 Employees (India)
Madras Engineeri...,4.1,(109 Reviews),Chennai + 7 more,57 years old,11-50 Employees (India),
S.M. Consultants,3.9,(109 Reviews),Private,"Bhubaneswar,Odisha + 15 more",24 years old,51-200 Employees (India)
Thirumalai Chemi...,3.6,(109 Reviews),Public,"Ranipet,Tamil Nadu + 5 more",50 years old,501-1k Employees (India)
Horiba India,3.8,(109 Reviews),Private,Kyoto + 12 more,70 years old,201-500 Employees (India)
Himalaya Optical...,4.1,(109 Reviews),Private,"Kolkata,West Bengal + 24 more",88 years old,201-500 Employees (India)
Nehru Yuva Kendr...,4.5,(109 Reviews),New Delhi + 52 more,51 years old,,
Country Club Hos...,3.6,(109 Reviews),Private,Hyderabad + 16 more,34 years old,201-500 Employees (India)
Vyapar,4.3,(109 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 3 more",8 years old,501-1k Employees (India)
SSK Group,4.0,(109 Reviews),Private,Pune + 32 more,34 years old,1k-5k Employees (India)
CRMnext,3.7,(109 Reviews),Private,"Noida,Uttar Pradesh + 3 more",22 years old,1k-5k Employees (India)
Integra Global S...,3.3,(109 Reviews),Private,"Wexford,Pennsylvania",19 years old,501-1k Employees (India)
Jeena & Company,4.4,(109 Reviews),Private,Mumbai + 21 more,123 years old,501-1k Employees (India)
Prothious Engine...,3.7,(109 Reviews),Private,"Mumbai,Maharashtra + 4 more",18 years old,1k-5k Employees (India)
Verifone,3.9,(109 Reviews),Private,Coral Springs + 5 more,42 years old,501-1k Employees (India)
EVOSYS,3.7,(109 Reviews),Private,"Ahmedabad,Gujarat + 5 more",17 years old,1k-5k Employees (India)
Beri Udyog,3.9,(109 Reviews),Private,"Karnal,Haryana + 11 more",45 years old,201-500 Employees (India)
ANR Software,3.5,(109 Reviews),Private,"Noida,Uttar Pradesh + 2 more",19 years old,201-500 Employees (India)
XenonStack,4.1,(109 Reviews),Private,"SunnyVale,California",11 years old,51-200 Employees (India)
Ankur Seeds,4.1,(109 Reviews),Private,Nagpur + 24 more,47 years old,1k-5k Employees (India)
AWC Software,4.1,(109 Reviews),Private,"Noida,Uttar Pradesh + 8 more",17 years old,201-500 Employees (India)
Burckhardt Compr...,4.3,(109 Reviews),Public,Zurich + 1 more,179 years old,201-500 Employees (India)
Essel Mining & I...,4.4,(109 Reviews),Private,Mumbai + 10 more,73 years old,1k-5k Employees (India)
Virinchi Technol...,3.6,(109 Reviews),Private,Edison + 2 more,32 years old,1k-5k Employees (India)
Cheers Interacti...,3.5,(109 Reviews),Private,"Utrecht,Albert Heijn + 3 more",23 years old,51-200 Employees (India)
Ican BPO,4.6,(109 Reviews),Private,Thane + 2 more,14 years old,201-500 Employees (India)
eMudhra,3.3,(109 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",15 years old,501-1k Employees (India)
Fabtech Projects...,4.2,(109 Reviews),Private,"Pune,Maharashtra + 6 more",31 years old,201-500 Employees (India)
Armstrong Intern...,4.2,(109 Reviews),Private,"Three Rivers,MI + 18 more",123 years old,51-200 Employees (India)
Abhijeet Group,3.9,(109 Reviews),Private,Nagpur + 21 more,35 years old,5k-10k Employees (India)
Education Cultur...,4.8,(109 Reviews),Private,"Ludhiana,Punjab + 5 more",8 years old,51-200 Employees (India)
Suzlon Gujarat W...,4.4,(109 Reviews),Private,Pune + 19 more,28 years old,5k-10k Employees (India)
Harvest Gold Ind...,3.9,(109 Reviews),Private,New Delhi + 12 more,30 years old,501-1k Employees (India)
Weikfield Foods,3.9,(109 Reviews),Private,Pune + 22 more,67 years old,501-1k Employees (India)
Db Power,4.2,(109 Reviews),Private,"Mumbai,Maharashtra + 6 more",13 years old,501-1k Employees (India)
Eaton Fluid Powe...,4.3,(109 Reviews),Private,"Dublin,Dublin + 4 more",112 years old,1k-5k Employees (India)
Sulphur Mills,3.8,(109 Reviews),Public,"Mumbai,Maharashtra + 17 more",63 years old,201-500 Employees (India)
JAY JAY MILLS,4.0,(109 Reviews),Private,"Tirupur/Tiruppur,Tamil Nadu + 6 more",52 years old,51-200 Employees (India)
Godrej Appliance...,3.8,(109 Reviews),Private,Mumbai + 29 more,65 years old,1k-5k Employees (India)
Target Engineeri...,3.6,(109 Reviews),Private,Abu Dhabi + 9 more,48 years old,10k-50k Employees (India)
Liugong India,3.4,(109 Reviews),Private,"Delhi/NCR,Delhi + 12 more",65 years old,201-500 Employees (India)
Clean Harbors,3.6,(109 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",43 years old,201-500 Employees (India)
Xalta Food And B...,2.9,(109 Reviews),Private,New Delhi + 27 more,8 years old,501-1k Employees (Global)
SMS Pharmaceutic...,3.4,(109 Reviews),Public,Hyderabad + 3 more,33 years old,501-1k Employees (India)
Biophore India P...,3.4,(109 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",16 years old,201-500 Employees (India)
Webdew,4.7,(109 Reviews),Private,"Mohali,Punjab + 4 more",7 years old,51-200 Employees (India)
DeHaat,3.9,(109 Reviews),Private,"Patna,Bihar + 32 more",4 years old,1k-5k Employees (India)
Physicswallah,4.4,(109 Reviews),Private,"Allahabad,Uttar Pradesh + 23 more",3 years old,201-500 Employees (India)
Saleswallah,4.9,(109 Reviews),"Noida,Uttar Pradesh",2 years old,51-200 Employees (India),
Celebi Ground Ha...,4.2,(512 Reviews),Private,Istanbul + 7 more,65 years old,51-200 Employees (India)
Boston Scientifi...,4.1,(118 Reviews),Private,"Marlborough,Massachusetts + 11 more",44 years old,201-500 Employees (India)
Cedcoss Technolo...,3.9,(113 Reviews),Private,"Lucknow,Uttar Pradesh",13 years old,1k-5k Employees (India)
Speciality Resta...,4.4,(108 Reviews),Public,"Mumbai,Maharashtra + 10 more",32 years old,1k-5k Employees (India)
Sowparnika,3.0,(108 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",20 years old,51-200 Employees (India)
Atos Technologie...,4.2,(108 Reviews),Pune + 8 more,,,
Wingreens Farms,3.9,(108 Reviews),Private,"Delhi,NCT + 15 more",12 years old,51-200 Employees (India)
Vishal Retail,4.1,(108 Reviews),"Delhi/NCR,Delhi + 36 more",22 years old,1 Lakh+ Employees (India),
United Nations D...,4.4,(108 Reviews),Public,"New York,New York + 28 more",58 years old,201-500 Employees (India)
World Health Org...,4.0,(108 Reviews),Private,"Geneva,Canton Of Geneva + 45 more",75 years old,1k-5k Employees (India)
Affluent Global ...,3.4,(108 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 6 more",11 years old,501-1k Employees (India)
NAV Backoffice,3.6,(108 Reviews),Private,Jaipur + 2 more,32 years old,1k-5k Employees (India)
Furnace Fabrica ...,3.5,(108 Reviews),Private,"Navi Mumbai,Maharashtra + 8 more",50 years old,201-500 Employees (India)
TI METAL FORMING,3.8,(108 Reviews),"Chennai,Tamil Nadu + 8 more",58 years old,201-500 Employees (India),
Tulip Diagnostic...,4.3,(108 Reviews),Private,Goa + 31 more,35 years old,1k-5k Employees (India)
Hiranandani grou...,4.5,(108 Reviews),Private,"Mumbai,Maharashtra + 11 more",45 years old,1k-5k Employees (India)
G.M.Pens Interna...,4.2,(108 Reviews),Private,"Chennai,Tamil Nadu + 25 more",28 years old,501-1k Employees (India)
Aneja Associates,3.1,(108 Reviews),Private,"Mumbai,Maharashtra + 6 more",42 years old,11-50 Employees (India)
Varindera Constr...,4.4,(108 Reviews),Public,"New Delhi,Delhi + 12 more",39 years old,501-1k Employees (India)
YFC PROJECTS,3.9,(108 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",37 years old,51-200 Employees (India)
Network Techlab,4.0,(108 Reviews),"Mumbai,Maharashtra + 7 more",27 years old,501-1k Employees (India),
John Energy,3.9,(108 Reviews),Private,Ahmedabad + 7 more,36 years old,1k-5k Employees (India)
UnitedHealthcare...,4.2,(108 Reviews),Minnesota + 9 more,46 years old,51-200 Employees (India),
Innovision,3.7,(108 Reviews),Private,"Mumbai,Maharashtra + 29 more",16 years old,201-500 Employees (India)
Black & Veatch,4.1,(108 Reviews),Private,Overland Park + 9 more,108 years old,501-1k Employees (India)
Tecumseh Product...,3.5,(108 Reviews),Private,"Ann Arbor,Michigan + 5 more",89 years old,201-500 Employees (India)
Health Prime Ser...,4.0,(108 Reviews),Private,Mumbai + 1 more,20 years old,201-500 Employees (India)
Givaudan,4.2,(108 Reviews),Private,"Vernier,Geneva + 6 more",128 years old,201-500 Employees (India)
HMSHost,4.0,(108 Reviews),Private,"Bethesda,Maryland + 6 more",126 years old,201-500 Employees (India)
Chowgule Industr...,3.8,(108 Reviews),Goa + 10 more,37 years old,51-200 Employees (India),
Bimal Auto Agenc...,4.0,(108 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",12 years old,501-1k Employees (India)
Solaris Chemtech,4.5,(108 Reviews),Private,Gurgaon + 9 more,53 years old,201-500 Employees (India)
Chitkara Univers...,4.1,(108 Reviews),Private,"Chandigarh,Punjab + 3 more",15 years old,501-1k Employees (India)
E Pack Polymers,3.5,(108 Reviews),"Greater Noida,Uttar Pradesh + 4 more",24 years old,501-1k Employees (India),
Translumina Ther...,4.4,(108 Reviews),LLP,"Delhi,NCT + 7 more",13 years old,201-500 Employees (India)
Hathi Cement,4.1,(108 Reviews),Private,Mumbai + 15 more,67 years old,501-1k Employees (India)
Sopra Banking So...,4.2,(108 Reviews),Public,"Paris,Ile-de-France + 2 more",11 years old,1k-5k Employees (India)
Zeta,3.5,(108 Reviews),Private,"Bangalore,Karnataka + 10 more",8 years old,201-500 Employees (India)
Linfox Logistics,4.3,(108 Reviews),Private,"Mumbai,Maharashtra + 20 more",67 years old,51-200 Employees (India)
Stumpp Schuele &...,3.7,(107 Reviews),Private,Bengaluru + 6 more,63 years old,201-500 Employees (India)
Celio Future Fas...,4.5,(107 Reviews),Private,Saint Quen + 26 more,38 years old,501-1k Employees (India)
Maharashtra Stat...,4.3,(107 Reviews),Private,Mumbai + 25 more,18 years old,1k-5k Employees (India)
NMDC,4.5,(107 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",65 years old,501-1k Employees (India)
TC Global,3.9,(107 Reviews),Private,Delhi + 15 more,28 years old,201-500 Employees (India)
Swal Corporation,4.3,(107 Reviews),Mumbai + 41 more,44 years old,11-50 Employees (India),
Ivy Mobility Sol...,3.7,(107 Reviews),Private,Marina Blvd + 7 more,21 years old,501-1k Employees (India)
Qube Cinema Tech...,4.0,(107 Reviews),Private,"Chennai,Tamil Nadu + 7 more",19 years old,501-1k Employees (India)
Dover India,3.9,(107 Reviews),Private,"Downers Grove,Illinois + 3 more",20 years old,501-1k Employees (India)
Nirmal Bang,3.6,(107 Reviews),Private,"Kolkata,West Bengal + 20 more",37 years old,1k-5k Employees (India)
Royal Infraconst...,3.4,(107 Reviews),Kolkata + 15 more,43 years old,51-200 Employees (India),
Aia Engineering,4.2,(107 Reviews),Public,"Ahmedabad,Gujrat + 2 more",44 years old,1k-5k Employees (India)
Valmet,4.1,(107 Reviews),Private,Espoo + 12 more,85 years old,51-200 Employees (India)
LimeRoad,3.4,(107 Reviews),Private,"Gurgaon,Haryana + 3 more",11 years old,501-1k Employees (India)
Pittie Group,3.2,(107 Reviews),Private,"Mumbai,Maharashtra + 21 more",32 years old,51-200 Employees (India)
Sunteck Realty,3.6,(107 Reviews),Public,"Mumbai,Maharashtra + 5 more",42 years old,51-200 Employees (India)
Presidium School,4.1,(107 Reviews),Private,New Delhi + 5 more,18 years old,501-1k Employees (India)
SpanIdea,3.6,(107 Reviews),Private,"MILPITAS,California + 5 more",13 years old,201-500 Employees (India)
AM Infoweb,3.8,(107 Reviews),Private,15 years old,1k-5k Employees (India),
Seco Tools,4.1,(107 Reviews),Private,Fagersta + 4 more,89 years old,201-500 Employees (India)
AGC Networks,3.6,(107 Reviews),Public,Mumbai + 12 more,37 years old,501-1k Employees (India)
Sakal Media Grou...,3.6,(107 Reviews),Private,"Pune,Maharashtra + 16 more",91 years old,1k-5k Employees (India)
Jbm Auto Compone...,3.9,(107 Reviews),Private,Gurgaon + 19 more,40 years old,10k-50k Employees (Global)
QDVC,4.9,(107 Reviews),Private,Doha + 3 more,16 years old,51-200 Employees (India)
Merit Software S...,3.9,(107 Reviews),Private,London + 2 more,19 years old,51-200 Employees (India)
Swiss Garnier Li...,4.3,(107 Reviews),Private,"Chennai,Tamil Nadu + 6 more",18 years old,201-500 Employees (India)
Prestige Estates...,4.5,(107 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 6 more",37 years old,1k-5k Employees (India)
AYM Syntex,3.9,(107 Reviews),Public,"Mumbai,Maharashtra + 4 more",38 years old,1k-5k Employees (India)
Laborate Pharmac...,3.4,(107 Reviews),Public,"Panipat,Haryana + 17 more",38 years old,1k-5k Employees (India)
Bull Machines,3.7,(107 Reviews),Private,"Coimbatore,Tamil Nadu + 21 more",61 years old,501-1k Employees (India)
Rural Electrific...,4.2,(107 Reviews),Private,New Delhi + 25 more,54 years old,501-1k Employees (Global)
Interface Micros...,3.8,(107 Reviews),Private,"Gurgaon/Gurugram,Haryana + 5 more",39 years old,51-200 Employees (India)
Exicom Tele Syst...,3.7,(107 Reviews),Gurgaon/Gurugram + 9 more,,,
Altius Customer ...,3.7,(107 Reviews),Private,"Mumbai,Maharashtra + 4 more",20 years old,201-500 Employees (India)
SEForge,3.5,(107 Reviews),Private,Coimbatore + 4 more,17 years old,201-500 Employees (India)
CDE Asia,4.5,(107 Reviews),Kolkata + 4 more,17 years old,201-500 Employees (India),
Modern V.R. Secu...,4.4,(107 Reviews),Private,Mumbai + 33 more,39 years old,51-200 Employees (India)
Indwell,3.8,(107 Reviews),Private,"Vijayawada,Andhra Pradesh + 15 more",46 years old,51-200 Employees (Global)
Futures Group,4.4,(107 Reviews),Private,New York + 40 more,15 years old,11-50 Employees (India)
Pahal Financial ...,4.5,(107 Reviews),Private,Ahmedabad + 33 more,29 years old,1k-5k Employees (India)
Yamaha Motor Ind...,3.8,(107 Reviews),Private,Gautam Buddh Nagar + 35 more,38 years old,10k-50k Employees (India)
Walkaroo Interna...,4.0,(107 Reviews),Coimbatore + 20 more,5k-10k Employees (India),,
Metacube Softwar...,4.4,(107 Reviews),Private,"Jaipur,Rajasthan + 1 more",19 years old,1k-5k Employees (India)
CQRA,4.2,(107 Reviews),Private,"Pune,Maharashtra + 13 more",19 years old,201-500 Employees (India)
Prochant,3.6,(107 Reviews),Private,"Chennai,Tamil Nadu + 4 more",24 years old,1k-5k Employees (India)
Holostik,4.1,(106 Reviews),Public,"Noida,Uttar Pradesh + 9 more",32 years old,1k-5k Employees (India)
Apollo Specialit...,4.3,(106 Reviews),Public,Chennai + 17 more,40 years old,10k-50k Employees (India)
Securitrans Indi...,4.0,(106 Reviews),Private,"Delhi/NCR,Delhi + 35 more",37 years old,1 Lakh+ Employees (India)
Myk Schomburg,3.9,(106 Reviews),Hyderabad + 21 more,17 years old,501-1k Employees (India),
Vijay Tanks & Ve...,4.4,(106 Reviews),Private,Sankarda + 8 more,67 years old,1k-5k Employees (India)
Bry-Air (Asia),4.2,(106 Reviews),Private,"Gurgaon/Gurugram,Haryana + 10 more",42 years old,1k-5k Employees (India)
V2 Solutions,4.2,(106 Reviews),Private,"Santa Clara,California + 5 more",20 years old,501-1k Employees (India)
Elofic Industrie...,3.8,(106 Reviews),Private,"Faridabad,Haryana + 9 more",72 years old,201-500 Employees (India)
AL JABER GROUP,4.2,(106 Reviews),Private,Abu Dhabi + 12 more,53 years old,1k-5k Employees (India)
Eminent Minds Te...,4.7,(106 Reviews),Bengaluru + 2 more,8 years old,11-50 Employees (India),
Minda Sai,3.6,(106 Reviews),Public,Greater Noida + 13 more,20 years old,201-500 Employees (India)
Royal Bank of Sc...,4.1,(106 Reviews),Private,Edinburgh + 6 more,296 years old,201-500 Employees (India)
Code Brew Labs,4.1,(106 Reviews),Private,"Chandigarh,Chandigarh",10 years old,201-500 Employees (India)
Upwork,4.6,(106 Reviews),Public,"Santa Clara,California + 22 more",8 years old,501-1k Employees (India)
FCS Software Sol...,3.8,(106 Reviews),Public,"Noida,Uttar Pradesh + 10 more",29 years old,501-1k Employees (India)
Trigyn Technolog...,3.9,(106 Reviews),Public,"Edison,New Jersey + 7 more",37 years old,501-1k Employees (India)
NHPC,4.4,(106 Reviews),Private,"Faridabad,Haryana + 14 more",48 years old,5k-10k Employees (India)
NDTV,3.7,(106 Reviews),Private,"Delhi/NCR,New Delhi + 5 more",34 years old,1k-5k Employees (India)
Makino,4.0,(106 Reviews),Private,Mason + 13 more,86 years old,51-200 Employees (India)
Consul Neowatt P...,4.2,(106 Reviews),Private,"Chennai,Tamil Nadu + 19 more",42 years old,1k-5k Employees (India)
XSEED Education,2.7,(106 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",15 years old,201-500 Employees (Global)
KGK Group,3.4,(106 Reviews),Private,Hong Kong + 10 more,118 years old,201-500 Employees (India)
Hanu Software So...,3.8,(106 Reviews),Private,"Princeton,New Jersey + 3 more",21 years old,1-10 Employees (India)
Government Polyt...,3.5,(106 Reviews),Private,Nagpur + 46 more,109 years old,1k-5k Employees (India)
Vanderlande Indu...,4.4,(106 Reviews),Private,"Veghel,North Brabant + 5 more",74 years old,1k-5k Employees (India)
Fortune Marketin...,3.5,(106 Reviews),Private,"Delhi/NCR,Delhi + 17 more",29 years old,1k-5k Employees (India)
Indian Terrain F...,3.7,(106 Reviews),Public,"Chennai,Tamil Nadu + 28 more",23 years old,201-500 Employees (India)
Jubilant Chemsys,3.8,(106 Reviews),Private,Noida + 6 more,19 years old,201-500 Employees (India)
Taikisha Enginee...,4.1,(106 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",28 years old,1k-5k Employees (India)
SAVA Healthcare,4.3,(106 Reviews),Public,"Pune,Maharashtra + 6 more",20 years old,501-1k Employees (India)
Torque Pharmaceu...,3.7,(106 Reviews),Private,"Chandigarh,Chandigarh + 20 more",38 years old,51-200 Employees (India)
Ray Engineering,4.0,(106 Reviews),Mumbai + 17 more,17 years old,11-50 Employees (India),
Janatics India,3.7,(106 Reviews),Private,"Coimbatore,Tamil Nadu + 18 more",46 years old,501-1k Employees (India)
Eaton Power Qual...,4.2,(106 Reviews),"New Delhi,Delhi + 9 more",112 years old,5k-10k Employees (India),
Dmi Housing Fina...,4.0,(106 Reviews),Private,New Delhi + 28 more,15 years old,51-200 Employees (India)
Amnex Infotechno...,3.7,(106 Reviews),Ahmedabad + 11 more,15 years old,501-1k Employees (India),
Shalimar Corp,3.9,(106 Reviews),Lucknow + 8 more,501-1k Employees (India),,
Technotask Busin...,3.4,(106 Reviews),Bhopal + 5 more,5k-10k Employees (India),,
Flipkart Wholesa...,4.1,(106 Reviews),Bengaluru/Bangalore + 36 more,11-50 Employees (India),,
Decimal Technolo...,3.6,(106 Reviews),Private,Gurgaon + 1 more,14 years old,501-1k Employees (India)
Ramky Group,4.1,(848 Reviews),Private,"Issy-les-moulineaux,Hauts-de-seine + 26 more",29 years old,50k-1 Lakh Employees (India)
ILS Hospitals,3.8,(105 Reviews),Private,Kolkata + 2 more,23 years old,501-1k Employees (Global)
AMBUJANEOTIA,4.4,(105 Reviews),"Kolkata,West Bengal + 5 more",33 years old,501-1k Employees (India),
Maharashtra Stat...,4.0,(105 Reviews),Private,Mumbai + 25 more,75 years old,50k-1 Lakh Employees (India)
G.S.E.C,3.9,(105 Reviews),Private,Ahmedabad + 9 more,58 years old,51-200 Employees (India)
Mayasheel Retail...,3.7,(105 Reviews),Public,Gurgaon + 28 more,8 years old,51-200 Employees (India)
Jasper Industrie...,4.6,(105 Reviews),Private,Hyderabad + 11 more,68 years old,501-1k Employees (India)
Parason Machiner...,3.9,(105 Reviews),Private,Aurangabad + 1 more,46 years old,201-500 Employees (India)
Tata Ficosa Auto...,4.1,(105 Reviews),Pune + 9 more,25 years old,201-500 Employees (India),
ACN Health care,3.5,(105 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",12 years old,11-50 Employees (India)
Jyote Motors,3.6,(105 Reviews),Private,"Bhubaneswar,Odisha + 7 more",27 years old,51-200 Employees (India)
Phoenix Contact,4.3,(105 Reviews),Private,Blomberg + 6 more,100 years old,501-1k Employees (India)
Informatica Busi...,4.3,(105 Reviews),Private,Redwood City + 2 more,30 years old,1k-5k Employees (India)
G7 CR Technologi...,3.2,(105 Reviews),Private,Bangalore,11 years old,51-200 Employees (India)
CIMS Hospital,4.2,(105 Reviews),Private,"Ahmedabad,Gujarat + 3 more",13 years old,201-500 Employees (India)
Etihad Airways,4.3,(105 Reviews),Private,Abu Dhabi + 10 more,20 years old,51-200 Employees (India)
Sanmar Group,3.7,(105 Reviews),Public,Chennai + 11 more,51 years old,1k-5k Employees (Global)
Talentica Softwa...,4.3,(105 Reviews),Private,"Pune,Maharashtra",20 years old,201-500 Employees (India)
Toyota Kirloskar...,4.5,(105 Reviews),Bangalore + 6 more,21 years old,201-500 Employees (India),
Avaada Energy,4.5,(105 Reviews),Private,"Mumbai,Maharashtra + 10 more",14 years old,501-1k Employees (India)
Taco Bell,4.2,(105 Reviews),Irvine + 17 more,61 years old,11-50 Employees (India),
Advids.co,3.6,(105 Reviews),Private,Palo Alto + 9 more,14 years old,201-500 Employees (India)
Renewsys India,4.2,(105 Reviews),Mumbai + 8 more,12 years old,201-500 Employees (India),
Airbnb,4.5,(105 Reviews),Private,"San Francisco,California + 3 more",15 years old,1k-5k Employees (India)
Dotsquares,3.8,(105 Reviews),Private,London + 1 more,21 years old,1k-5k Employees (India)
Roots Multiclean,3.8,(105 Reviews),Public,"Coimbatore,Tamil Nadu + 20 more",31 years old,1k-5k Employees (India)
Serdia Pharmaceu...,3.7,(105 Reviews),Private,"Mumbai,Maharashtra + 20 more",37 years old,501-1k Employees (India)
Monginis Foods,3.7,(105 Reviews),Private,"Mumbai,Maharashtra + 20 more",63 years old,501-1k Employees (India)
Wave Infratech,3.9,(105 Reviews),Private,"Noida,Uttar Pradesh + 6 more",60 years old,1k-5k Employees (India)
Meneta Automotiv...,3.6,(105 Reviews),Private,Sonipat + 1 more,16 years old,201-500 Employees (India)
Viacom18 Media,3.9,(105 Reviews),Private,Mumbai + 10 more,16 years old,1k-5k Employees (India)
TrueBlue,4.1,(105 Reviews),Private,"Tacoma,Washington + 1 more",21 years old,51-200 Employees (India)
Joyson Safety Sy...,3.9,(105 Reviews),Auburn Hills + 6 more,26 years old,1k-5k Employees (India),
Laxmi-Agni Compo...,3.6,(105 Reviews),Aurangabad,24 years old,201-500 Employees (India),
MSL Driveline Sy...,4.2,(105 Reviews),Mumbai + 5 more,44 years old,201-500 Employees (India),
Lulu Internation...,3.9,(105 Reviews),Private,Kerala + 13 more,10 years old,51-200 Employees (India)
Umlaut,3.3,(105 Reviews),Private,"Aachen,North Rhine-Westphalia + 3 more",27 years old,501-1k Employees (India)
QR Crypher,4.4,(105 Reviews),JV,"Tiruchirappalli,Tamil Nadu + 1 more",4 years old,11-50 Employees (India)
Mahindra Retail,3.8,(31.4k Reviews),Private,"Bangalore,Karnataka + 34 more",16 years old,1 Lakh+ Employees (India)
Dynamatic Techno...,3.6,(170 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 3 more",50 years old,1k-5k Employees (India)
Zucol Group,2.6,(142 Reviews),Private,"Gurgaon/Gurugram,Haryana + 4 more",13 years old,501-1k Employees (India)
UNITILE,4.7,(128 Reviews),Private,"Mumbai,Maharashtra + 11 more",29 years old,51-200 Employees (India)
Nippon Konpo,4.0,(104 Reviews),Gurugram + 6 more,12 years old,51-200 Employees (India),
Amar Cars,3.7,(104 Reviews),Private,"Vadodara,Gujarat + 9 more",17 years old,501-1k Employees (India)
Narayana Medical...,4.1,(104 Reviews),Private,Nellore + 5 more,44 years old,1k-5k Employees (India)
Smart Drive Syst...,3.5,(104 Reviews),Private,"San Diego,California",19 years old,201-500 Employees (India)
RT Network Solut...,3.6,(104 Reviews),Private,Kolkata + 19 more,12 years old,1k-5k Employees (Global)
MeritTrac,4.1,(104 Reviews),Private,"Bangalore,Karnataka + 9 more",23 years old,201-500 Employees (India)
Marathon Electri...,3.9,(104 Reviews),"Las Vegas,Nevada + 9 more",110 years old,201-500 Employees (India),
Teleminds Infote...,2.9,(104 Reviews),Private,"Kolkata,West Bengal + 1 more",11 years old,51-200 Employees (India)
Armed Forces Tri...,4.7,(104 Reviews),Private,New Delhi + 33 more,16 years old,11-50 Employees (India)
Orchid Hotel,3.9,(104 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",50 years old,51-200 Employees (India)
Marquardt,3.6,(104 Reviews),Private,Rietheim-Weilheim + 2 more,27 years old,201-500 Employees (India)
ASK-EHS Engineer...,3.2,(104 Reviews),Private,Surat + 18 more,18 years old,201-500 Employees (India)
Embee Software,3.7,(104 Reviews),Private,"Kolkata,West Bengal + 14 more",36 years old,501-1k Employees (India)
Alp Consulting,3.6,(104 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 12 more",27 years old,201-500 Employees (India)
Ashish Life Scie...,4.3,(104 Reviews),Private,"Mumbai,Maharashtra + 3 more",48 years old,51-200 Employees (India)
Nippon Toyota,4.6,(104 Reviews),Private,"Kochi/Cochin,Kerala + 8 more",24 years old,201-500 Employees (India)
Saija Finance,4.0,(104 Reviews),Private,"Patna,Bihar + 19 more",16 years old,501-1k Employees (India)
Vitromed Healthc...,4.1,(104 Reviews),Private,"Jaipur,Rajasthan + 3 more",51 years old,51-200 Employees (India)
Sadhu Forging,3.9,(104 Reviews),Private,"Faridabad,Haryana + 4 more",47 years old,201-500 Employees (India)
Crimson Interact...,3.9,(104 Reviews),Private,"New York,New York + 2 more",18 years old,501-1k Employees (India)
ACE Group,4.5,(104 Reviews),Private,Noida + 20 more,2023 years old,
Anmol Biscuits,4.2,(104 Reviews),Public,"Kolkata,West Bengal + 24 more",29 years old,501-1k Employees (India)
